## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_1YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_1YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:25:07 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
257	247	39	2	1448343	276.559205	2421.006278	17587823	FR	15	29	45	61	79	99	123	155	205	257	463			
188	55662	169	2	1357552	45578.635051	131336.358727	4017	RF	89	169	251	305	339	369	1139	110949	211149	602637	1518061			
193	120	83	2	1444424	83341.508287	185592.061903	6697	TANDEM	31	61	95	129	167	219	325	278637	649659	1023841	1595869			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	22	19	3
3	21	20	0
4	26	17	1
5	20	18	1
6	23	22	0
7	31	26	0
8	34	18	0
9	29	19	0
10	30	23	0
11	29	21	1
12	30	28	1
13	25	30	1
14	25	30	2
15	20	23	1
16	24	17	1
17	31	37	1
18	44	30	0
19	266	28	0
20	65	19	1
21	64	25	1
22	770	26	1
23	61	18	2
24	59	24	1
25	90	23	4
26	109	30	3
27	72	31	4
28	250	24	2
29	68	22	4
30	396	23	2
31	64	15	5
32	312	22	3
33	109	18	7
34	75	17	5
35	334	26	6
36	79	18	12
37	55	17	4
38	85	24	10
39	88	12	8
40	78	14	6
41	104	12	9
42	398	18	7
43	159	17	9
44	110	12	5
45	131	13	10
46	152	13	10
47	141	9	7
48	153	11	6
49	177	11	10
50	132	11	5
51	1600	17	9
52	228	12	15
53	144	16	2
54	642	12	15
55	232	13	12
56	209	13	5
57	181	11	11
58	531	18	8
59	203	10	12
60	205	6	10
61	228	9	19
62	257	6	6
63	340	9	9
64	299	5	11
65	309	8	9
66	357	6	7
67	302	4	11
68	297	8	13
69	288	8	4
70	376	4	12
71	404	13	11
72	482	14	13
73	530	7	11
74	522	9	24
75	593	10	19
76	581	9	11
77	656	8	17
78	661	9	16
79	681	10	17
80	797	7	13
81	863	6	15
82	886	9	19
83	803	9	16
84	879	6	18
85	1092	8	11
86	1150	12	20
87	1185	10	13
88	1287	7	12
89	1308	4	27
90	1373	7	17
91	1512	9	14
92	1568	8	22
93	1599	9	21
94	1791	12	19
95	2473	11	21
96	1925	5	23
97	2064	5	25
98	2300	11	20
99	2340	7	23
100	2400	9	27
101	2579	6	24
102	2735	6	23
103	2840	6	16
104	2970	8	21
105	3224	12	15
106	3336	2	21
107	3750	12	22
108	3804	7	28
109	3948	4	34
110	4066	4	21
111	4318	5	27
112	4473	5	25
113	4798	7	25
114	4910	11	24
115	5139	10	26
116	5360	6	18
117	5568	7	37
118	5934	7	27
119	6186	6	25
120	6297	11	40
121	6688	5	29
122	7027	4	27
123	7186	5	28
124	7467	7	33
125	7544	6	21
126	8030	5	28
127	8374	7	33
128	8829	5	26
129	9152	10	33
130	9522	4	28
131	9802	6	23
132	10289	5	34
133	10560	8	28
134	10846	9	30
135	11074	11	29
136	11730	8	29
137	12221	10	31
138	12700	11	24
