## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_2YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_2YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:18:02 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
265	259	38	2	1272037	284.960126	2300.048637	17970090	FR	15	29	45	61	77	97	121	153	205	257	497			
258	55662	233	2	1194939	46861.104796	129601.814959	3941	RF	155	251	349	417	467	511	5401	110809	198767	560237	1574007			
184	186	68	2	1443891	58737.893297	159781.315372	8369	TANDEM	27	51	79	107	137	175	229	907	436677	837413	1591767			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	18	12	2
3	17	11	0
4	16	5	1
5	18	11	0
6	13	18	0
7	24	17	0
8	12	19	0
9	11	12	1
10	22	14	1
11	18	17	0
12	23	20	0
13	24	17	0
14	20	17	1
15	17	16	1
16	17	15	1
17	22	11	2
18	19	25	0
19	1504	19	1
20	59	20	1
21	73	19	3
22	862	20	1
23	45	19	2
24	61	30	4
25	85	24	3
26	73	17	7
27	57	19	5
28	223	15	7
29	56	22	4
30	426	19	3
31	45	21	12
32	245	17	6
33	98	11	5
34	58	16	8
35	296	15	6
36	58	18	4
37	65	19	13
38	56	13	4
39	101	19	10
40	71	8	11
41	82	11	7
42	572	14	6
43	187	12	12
44	620	9	9
45	130	16	7
46	146	3	12
47	122	12	8
48	150	13	10
49	157	17	6
50	136	9	12
51	1512	11	9
52	168	8	6
53	117	13	15
54	626	9	18
55	222	13	9
56	144	12	12
57	146	9	15
58	566	18	14
59	141	11	19
60	155	10	15
61	213	8	12
62	164	9	19
63	257	14	13
64	215	13	14
65	249	7	13
66	285	9	18
67	237	14	13
68	258	15	21
69	219	9	18
70	265	9	19
71	265	10	17
72	331	11	17
73	336	5	20
74	364	11	19
75	467	12	22
76	366	7	17
77	404	8	17
78	447	4	11
79	468	3	12
80	538	8	17
81	563	12	22
82	569	9	23
83	519	8	26
84	562	12	23
85	679	8	24
86	743	6	26
87	743	5	21
88	801	5	22
89	808	8	20
90	937	7	27
91	895	10	29
92	992	7	23
93	951	8	28
94	1093	5	30
95	1670	6	28
96	1103	6	33
97	1158	3	26
98	1282	6	28
99	1411	8	24
100	1422	10	27
101	1491	8	38
102	1711	7	33
103	1786	5	34
104	1785	9	32
105	1908	6	34
106	1967	5	32
107	2426	9	27
108	2242	11	36
109	2345	4	26
110	2452	9	37
111	2616	5	47
112	2704	12	26
113	2814	9	39
114	3166	6	30
115	3290	11	34
116	3335	6	27
117	3417	10	43
118	3700	7	40
119	3917	5	39
120	3990	3	43
121	4490	5	34
122	4434	6	36
123	4518	4	38
124	4824	5	42
125	4790	7	30
126	5290	9	40
127	5518	4	38
128	5786	3	41
129	6004	2	36
130	6277	7	35
131	6582	7	47
132	6828	3	36
133	6994	10	41
134	7199	5	37
135	7546	7	51
136	7760	5	30
137	8230	12	30
138	8273	5	41
139	9214	6	40
