## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_3YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_3YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:21:32 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
257	245	39	2	1319202	275.507713	2205.237337	19329620	FR	15	31	45	61	79	99	123	155	207	261	483			
230	55662	207.5	2	1361982	46758.596487	127968.685538	4384	RF	127	229	311	375	415	453	2189	110865	198827	628781	1429245			
183	153	73	2	1373208	72390.990671	177659.206289	8254	TANDEM	27	55	83	113	147	185	253	134581	554947	910521	1596187			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	16	15	1
3	19	21	1
4	24	23	0
5	22	20	0
6	16	23	0
7	16	19	1
8	20	20	0
9	17	21	1
10	10	15	1
11	21	18	3
12	35	21	1
13	19	22	1
14	22	16	0
15	23	20	3
16	24	33	1
17	23	23	2
18	34	24	3
19	1983	26	0
20	119	24	3
21	90	26	1
22	1058	24	2
23	70	24	1
24	79	30	1
25	124	19	2
26	112	21	7
27	71	15	4
28	262	19	4
29	84	20	3
30	466	23	11
31	46	20	7
32	318	21	7
33	121	19	7
34	59	23	5
35	432	21	5
36	97	24	3
37	70	12	7
38	64	13	6
39	93	19	5
40	96	14	10
41	98	18	13
42	515	11	5
43	187	12	7
44	651	10	7
45	168	12	8
46	181	17	5
47	134	14	9
48	162	17	11
49	167	16	8
50	175	10	9
51	1938	14	8
52	240	11	8
53	169	14	10
54	713	13	12
55	246	16	11
56	230	9	7
57	206	12	12
58	651	9	12
59	214	10	9
60	232	10	16
61	262	12	9
62	239	14	22
63	386	14	15
64	311	11	12
65	353	9	16
66	359	9	14
67	337	9	15
68	329	8	11
69	356	13	22
70	398	15	14
71	418	11	14
72	488	14	15
73	550	11	15
74	545	14	21
75	687	11	25
76	612	11	19
77	704	11	20
78	660	6	17
79	721	13	18
80	845	5	20
81	925	9	18
82	942	9	20
83	886	5	15
84	963	13	25
85	1083	7	26
86	1219	15	23
87	1319	7	22
88	1342	9	16
89	1365	6	32
90	1549	8	21
91	1578	10	26
92	1692	6	26
93	1659	11	30
94	1900	8	30
95	2640	13	33
96	2149	9	32
97	2172	5	29
98	2376	5	39
99	2487	11	35
100	2513	8	34
101	2734	8	30
102	2961	4	33
103	3096	12	41
104	3191	9	24
105	3420	13	42
106	3731	8	41
107	4090	7	31
108	4008	4	26
109	4303	5	37
110	4381	7	37
111	4665	7	33
112	4950	7	39
113	5201	7	25
114	5367	5	32
115	5686	13	31
116	5878	10	41
117	6173	8	45
118	6497	5	36
119	6814	6	32
120	6918	8	42
121	7334	5	40
122	7563	7	34
123	7889	5	35
124	8235	12	29
125	8318	5	28
126	8789	7	37
127	9239	3	36
128	9448	11	37
129	9981	6	42
130	10539	8	22
131	10971	9	36
132	11185	8	35
133	11509	12	44
134	11816	4	32
135	12579	7	40
136	12734	7	37
137	13398	5	50
138	13844	7	38
