## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_1YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_1YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 16:52:41 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
252	247	38	2	1224571	270.239887	2354.668841	21026474	FR	15	29	45	61	77	97	121	153	203	253	451			
231.5	55662	210.5	2	1178107	48719.930773	128516.246949	4348	RF	129	231	321	381	421	465	6095	110863	222629	605479	1543903			
201	124	98	2	1363471	92836.700622	189161.34871	8364	TANDEM	37	73	113	151	197	261	51085	357427	679119	1074107	1595595			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	23	13	1
3	19	25	3
4	23	32	1
5	22	17	0
6	15	25	0
7	15	21	1
8	16	13	1
9	24	20	0
10	29	14	1
11	23	19	1
12	32	21	1
13	14	16	2
14	35	17	0
15	29	31	0
16	32	20	2
17	27	25	1
18	42	27	2
19	1897	18	2
20	100	8	3
21	91	26	2
22	1153	20	4
23	66	22	1
24	81	18	5
25	117	30	4
26	157	21	3
27	70	34	4
28	294	25	5
29	67	24	6
30	456	15	4
31	72	19	7
32	338	20	8
33	128	19	6
34	80	22	4
35	426	20	4
36	87	20	9
37	77	15	8
38	76	17	8
39	100	17	8
40	98	13	4
41	104	18	10
42	482	15	9
43	184	18	7
44	659	14	10
45	166	10	5
46	183	19	10
47	160	15	3
48	193	16	10
49	206	22	9
50	174	20	15
51	1980	12	12
52	247	10	14
53	167	16	12
54	836	17	10
55	294	11	10
56	239	8	12
57	241	13	17
58	626	9	14
59	239	8	6
60	263	11	15
61	298	12	8
62	316	15	12
63	464	7	18
64	334	9	12
65	402	12	13
66	436	8	11
67	415	4	17
68	405	14	15
69	438	12	16
70	517	13	14
71	566	8	28
72	635	15	19
73	673	14	18
74	655	8	12
75	764	9	18
76	736	5	15
77	869	6	19
78	916	6	15
79	893	15	16
80	979	7	27
81	1151	11	26
82	1158	11	25
83	1157	10	18
84	1168	10	18
85	1452	10	28
86	1485	9	19
87	1601	7	23
88	1789	8	19
89	1868	4	23
90	2047	8	21
91	2125	8	23
92	2280	6	29
93	2131	7	35
94	2465	5	21
95	3345	11	23
96	2771	8	32
97	2976	12	26
98	3110	11	29
99	3280	6	29
100	3509	6	41
101	3751	6	28
102	4076	5	22
103	3986	7	25
104	4391	5	30
105	4581	7	31
106	4886	7	25
107	5380	10	37
108	5455	12	33
109	5809	4	29
110	6047	8	33
111	6381	10	30
112	6536	8	27
113	6920	4	31
114	7186	8	26
115	7591	4	28
116	7826	5	26
117	8143	9	26
118	8584	10	41
119	9054	7	31
120	9402	6	39
121	9980	10	35
122	10253	9	33
123	10389	7	28
124	10735	2	46
125	11174	13	28
126	11727	7	38
127	12410	7	26
128	12623	9	31
129	13093	4	35
130	13688	4	40
131	14153	4	40
132	14819	6	29
133	15357	8	33
134	15569	7	32
135	16262	5	37
136	16735	14	35
137	17078	6	28
138	17869	4	35
