## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_2YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_2YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 16:56:47 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
245	242	37	2	1465341	263.067767	2143.01524	17887551	FR	15	29	43	57	75	93	117	147	197	247	471			
233	55662	211	2	1380662	47699.095376	136800.568126	3806	RF	135	237	319	383	423	461	5833	110859	198863	602521	1574369			
183	131	77	4	1406250	79552.098799	180157.71626	7662	TANDEM	29	57	87	119	155	201	291	274657	569685	928999	1592631			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	14	18	0
3	19	18	0
4	17	15	1
5	20	22	1
6	15	25	0
7	20	19	0
8	13	15	0
9	18	19	0
10	17	24	0
11	9	21	1
12	28	21	0
13	33	13	1
14	30	24	1
15	23	20	2
16	21	14	1
17	29	21	1
18	27	17	2
19	1949	18	4
20	99	14	2
21	97	17	3
22	978	16	1
23	59	14	2
24	79	24	0
25	97	15	2
26	132	22	1
27	64	20	2
28	305	23	5
29	66	23	3
30	471	15	9
31	70	13	7
32	354	27	9
33	108	15	6
34	76	18	6
35	444	14	6
36	114	23	4
37	64	18	5
38	78	11	6
39	124	14	11
40	91	11	2
41	112	12	11
42	494	14	4
43	158	15	7
44	713	16	9
45	166	13	3
46	173	9	10
47	154	9	9
48	161	15	9
49	168	12	8
50	180	16	10
51	1898	15	12
52	213	7	10
53	154	9	4
54	802	8	21
55	276	7	13
56	188	2	25
57	228	8	14
58	596	10	23
59	257	9	17
60	239	8	11
61	276	6	11
62	258	9	14
63	407	11	9
64	352	15	16
65	351	10	15
66	396	5	10
67	392	9	16
68	367	7	19
69	400	14	14
70	477	10	17
71	468	11	15
72	559	7	18
73	639	11	18
74	628	11	17
75	758	12	15
76	730	9	18
77	826	11	25
78	808	5	22
79	837	4	13
80	988	4	18
81	1088	6	26
82	1054	10	24
83	1038	7	19
84	1122	13	25
85	1387	7	17
86	1436	9	24
87	1482	7	16
88	1679	9	24
89	1695	8	27
90	1853	3	23
91	1992	8	26
92	2083	9	26
93	2050	9	14
94	2285	4	28
95	3276	9	27
96	2593	8	33
97	2767	9	31
98	2973	10	26
99	3117	9	39
100	3316	7	38
101	3508	6	36
102	3730	12	26
103	3866	4	35
104	3973	3	38
105	4271	5	26
106	4650	9	30
107	5085	9	29
108	5068	5	32
109	5477	10	33
110	5593	12	22
111	6049	5	35
112	6083	3	38
113	6743	3	30
114	6836	5	21
115	7294	7	29
116	7413	7	30
117	7775	9	40
118	8334	2	21
119	8587	6	33
120	8736	7	45
121	9393	5	30
122	9566	15	39
123	9865	6	39
124	10335	4	34
125	10569	7	36
126	11198	8	31
127	11699	9	46
128	12062	2	35
129	12750	1	44
130	13165	1	26
131	13476	7	48
132	13960	3	36
133	14493	6	27
134	14988	4	44
135	15474	3	38
136	15932	10	26
137	16784	6	30
138	16950	5	33
