## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_1_YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_1_YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:03:43 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
254	247	38	2	1319488	273.447231	2322.880851	17165809	FR	15	29	45	61	77	97	121	153	203	255	487			
281	55662	260	2	1363952	56728.477352	139403.444462	3444	RF	163	299	407	477	521	683	22487	169479	280199	698333	1574287			
155	104	56	3	1324256	44947.28536	142313.078629	10888	TANDEM	21	43	67	89	113	143	181	255	342999	673077	1508551			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	15	17	0
3	19	13	1
4	24	22	0
5	14	21	1
6	9	9	2
7	18	10	0
8	13	14	5
9	17	12	0
10	13	9	0
11	18	12	0
12	27	18	1
13	15	15	2
14	13	16	2
15	22	22	3
16	21	16	1
17	17	16	4
18	20	21	3
19	301	24	6
20	102	14	0
21	99	21	2
22	869	21	7
23	58	14	4
24	85	23	8
25	93	15	5
26	206	18	6
27	85	18	6
28	330	10	12
29	78	18	4
30	693	15	7
31	64	18	8
32	977	18	14
33	176	23	12
34	84	11	9
35	728	10	8
36	106	15	10
37	89	12	10
38	67	15	19
39	99	7	17
40	81	12	12
41	115	17	15
42	567	10	11
43	183	15	12
44	150	9	15
45	189	11	15
46	194	14	14
47	167	15	15
48	207	15	25
49	193	15	21
50	142	8	14
51	3740	12	28
52	285	9	22
53	172	15	19
54	977	10	24
55	316	14	16
56	200	19	22
57	162	6	23
58	867	7	31
59	216	5	22
60	248	8	25
61	254	5	27
62	292	8	30
63	401	10	28
64	261	5	32
65	353	11	44
66	386	2	31
67	375	7	33
68	309	6	32
69	317	8	32
70	381	8	37
71	424	9	35
72	450	3	38
73	505	6	36
74	511	5	34
75	774	5	38
76	591	8	40
77	622	6	50
78	711	9	43
79	648	4	39
80	907	3	46
81	918	8	39
82	994	4	48
83	824	5	46
84	837	15	42
85	1048	9	54
86	1121	4	41
87	1146	7	53
88	1239	8	50
89	1341	2	42
90	1376	1	52
91	1500	7	44
92	1446	7	61
93	1494	6	46
94	1660	7	58
95	2507	7	56
96	1872	8	45
97	1935	5	53
98	2167	7	48
99	2225	6	55
100	2385	4	72
101	2439	10	55
102	2748	9	59
103	2775	4	47
104	2832	8	78
105	3011	6	56
106	3294	4	58
107	3838	3	52
108	3491	3	47
109	3820	4	57
110	3857	4	57
111	4136	2	55
112	4212	7	50
113	4664	3	64
114	4887	8	62
115	5085	5	69
116	5282	9	72
117	5368	5	66
118	5690	5	55
119	6152	2	63
120	6395	3	52
121	6714	4	54
122	6877	2	52
123	6941	4	58
124	7187	6	68
125	7452	7	63
126	7962	1	60
127	8496	5	67
128	8731	4	61
129	9083	2	56
130	9576	6	57
131	9691	1	59
132	10305	3	53
133	10612	3	60
134	10920	4	51
135	11460	3	54
136	11851	6	48
137	12163	5	53
138	12655	3	59
