# Program:featureCounts v2.0.1; Command:"/u/home/s/samdemar/tools/Subread/subread-2.0.1-source/bin/featureCounts" "-F" "GFF" "-a" "/u/home/s/samdemar/refrencegenomes/AnnotationFiles/Saccharomyces_cerevisiae.R64-1-1.104.gtf" "-o" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/Counts/counts.txt" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam
YDL246C	IV	8683	9756	-	1074	332	337	248	1301	1191	1263	2026	1579	1537	308	366	405
YDL243C	IV	17577	18566	-	990	632	795	590	4108	3543	3859	7155	5626	5978	469	637	726
YDR387C	IV	1248154	1249821	-	1668	2356	2400	2172	5247	4951	5491	6428	5148	5452	1595	1612	1752
YDL094C	IV	289572	290081	-	510	62	73	85	151	161	173	246	164	199	65	45	76
YDR438W	IV	1338274	1339386	+	1113	1194	1091	1003	1824	2055	2085	1984	1641	1677	1026	1134	1001
YDR523C	IV	1485566	1487038	-	1473	462	339	272	341	354	342	757	684	695	308	319	134
YDR542W	IV	1523249	1523611	+	363	27	23	24	96	112	146	278	223	304	14	18	8
YDR492W	IV	1434924	1435874	+	951	1444	1218	1233	1542	1573	1735	949	943	780	2854	3369	1780
YDR018C	IV	482670	483860	-	1191	588	429	527	621	636	593	1771	1366	1441	216	165	223
YDL189W	IV	122216	123589	+	1374	3746	3622	3467	3649	3560	4261	3544	3056	2896	4128	4449	3655
YDR508C	IV	1466453	1468444	-	1992	11562	11849	10447	8895	10301	10537	12044	9067	9133	10592	10263	9002
YDR462W	IV	1386073	1386516	+	444	1955	1720	1864	1739	1507	1725	1960	1531	1553	1378	1695	1828
YDR175C	IV	813193	814152	-	960	3008	2636	2275	2447	2346	2815	2872	2081	1991	2351	2613	2564
YDR186C	IV	832859	835492	-	2634	4893	5044	4218	4916	4602	4939	5333	3893	3921	5903	5670	5052
YDR150W	IV	755628	763874	+	8247	16972	15850	15052	14202	15068	15824	16702	11529	12745	20016	17633	16041
YDR243C	IV	948518	950284	-	1767	1483	1350	1288	2575	2553	2759	2468	2102	2092	1516	1642	1178
YDL182W	IV	133437	134723	+	1287	22353	23932	20584	12634	22219	20517	20782	16370	19774	17646	17444	15758
YDR362C	IV	1196679	1198697	-	2019	2919	2787	2610	3733	3844	3933	3789	3165	3119	2381	2723	2266
YDR232W	IV	927452	929098	+	1647	15169	14659	13302	12371	12669	13074	13578	10567	11076	18017	19505	13423
YDR158W	IV	770357	771454	+	1098	30901	33424	30393	38168	37769	39817	40291	33467	35733	30820	32277	31122
YDR439W	IV	1339676	1340719	+	1044	516	440	441	842	901	913	980	714	777	725	584	456
YDL206W	IV	90176	92464	+	2289	2386	2553	2326	3417	3364	3499	3973	3061	3352	1957	1914	2087
YDR125C	IV	701397	702758	-	1362	772	828	731	1744	1600	1746	2436	1902	2080	561	485	605
YDR338C	IV	1147379	1149466	-	2088	2405	2504	2354	2818	2442	2897	3064	2361	2687	2335	2365	2279
YDR526C	IV	1491075	1491545	-	471	13	25	11	20	27	22	26	24	16	14	6	14
YDR533C	IV	1501447	1502160	-	714	2552	2623	2237	4058	4095	4138	3715	3081	3539	1857	2037	2137
YDR272W	IV	1009010	1009834	+	825	6119	6058	5258	6271	5822	6635	7041	5777	5924	4019	4130	4837
YDR197W	IV	851228	852397	+	1170	1629	1615	1462	1674	1525	1675	1673	1405	1589	1475	1370	1426
YDR512C	IV	1470500	1471063	-	564	2192	2515	2298	2234	2111	2127	2655	2636	2336	1473	1568	2097
YDR489W	IV	1431012	1431896	+	885	1045	1080	1045	1256	1215	1263	1687	1293	1393	883	871	753
